2018-07-03T04:50:13.513Z - info: Pages built
2018-07-03T06:26:48.990Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\preliminaries.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixC-faq.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\learningOutcomes.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\ratingSystem.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\lectures.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tutorials.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixD-help.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\textbooks.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\programming-languages.md
2018-07-03T06:26:48.991Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-product.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-constraints.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-scope.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-w03-inception.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-mid-v10.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v10.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-assessment.md
2018-07-03T06:26:48.992Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-mid-v11.md
2018-07-03T06:26:48.993Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v11.md
2018-07-03T06:26:48.993Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-mid-v12.md
2018-07-03T06:26:48.993Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-testing.md
2018-07-03T06:26:48.993Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixB-policies.md
2018-07-03T06:26:48.993Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\collate.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\projectPortfolioPage.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v12.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-mid-v13.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v13.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-mid-v14.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v14.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\supervision.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\teams.md
2018-07-03T06:26:48.994Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\peer-evaluations.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\gradeBreakdown.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\participation.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\exams.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixA-principles.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixF-teamworkIssues.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\_markbind\navigation\adminSiteNav.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\brainstorming\exercises.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\brainstorming\q-tick-keyCharacteristic.md
2018-07-03T06:26:48.995Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\introduction\exercises.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\introduction\q-tick-correctStatementsAboutUserStories.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\introduction\q-essay-critiqueUserStory.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\introduction\q-essay-hrUserStories.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\usage\text.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\requirements\nonFunctionalRequirements\exercises.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\requirements\nonFunctionalRequirements\q-tick-teammates.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\forkingWorkflow\resources.md
2018-07-03T06:26:48.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\text.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\container-inParent-asPanel.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\unit-inParent-asPanel.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\introduction\example-java.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\introduction\example-python.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\example-java.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\example-python.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\example-java.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\example-python.md
2018-07-03T06:26:48.997Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\exercises.md
2018-07-03T06:26:48.998Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\q-tick-approach.md
2018-07-03T06:26:48.998Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\q-essay-explain.md
2018-07-03T06:26:48.998Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\intermediate\exercises.md
